model,threshold,accuracy,precision,recall,f1,f2,tn,fp,fn,tp,is_selected
linear_svm,0.04,0.49481635524022144,0.4942468779724464,0.9977700693756194,0.6610444239253104,0.8288822336801589,72,16483,36,16108,False
linear_svm,0.05,0.49512217499006084,0.4943930689114873,0.9967789890981169,0.6609574271455856,0.8284169884169884,98,16457,52,16092,False
linear_svm,0.06,0.49610079818954705,0.4948745574880714,0.9957879088206145,0.6611692611404717,0.8281390053677584,146,16409,68,16076,False
linear_svm,0.07,0.49634545398941865,0.4949865794588591,0.9938057482656095,0.6608315999752867,0.8271041045891803,186,16369,100,16044,False
linear_svm,0.08,0.4966512737392581,0.4951300207167373,0.9918855302279485,0.6605341858306693,0.826119256683554,227,16328,131,16013,False
linear_svm,0.09,0.4968653475641457,0.49522983521248914,0.9903369672943508,0.6602791773354257,0.8253148874664464,259,16296,156,15988,False
linear_svm,0.1,0.4972017492889691,0.4953897736797988,0.9884167492566898,0.6599937958846035,0.824335912880862,301,16254,187,15957,False
linear_svm,0.11,0.49824153643842317,0.4959063599290228,0.9867443012884044,0.660078314376282,0.8236900071355443,362,16193,214,15930,False
linear_svm,0.12,0.49821095446343927,0.4958814352574103,0.9844524281466799,0.6595426816616177,0.8223976983420611,398,16157,251,15893,False
linear_svm,0.13,0.49876143001315026,0.49615168012014266,0.9822844400396432,0.6592940589531452,0.8213346039901386,451,16104,286,15858,False
linear_svm,0.14,0.4997094712376525,0.4966255454060332,0.9799925668979187,0.6591946001124976,0.820310474630054,519,16036,323,15821,False
linear_svm,0.15,0.49992354506254016,0.49672708962739176,0.9777006937561943,0.6587646076794658,0.8190800398538691,563,15992,360,15784,False
linear_svm,0.16,0.5005046025872351,0.49701770442137155,0.9755327056491576,0.6585268967824215,0.818019384394835,617,15938,395,15749,False
linear_svm,0.17,0.5009633322119943,0.4972452662909252,0.9727452923686819,0.6580899300171814,0.8165727240583207,677,15878,440,15704,False
linear_svm,0.18,0.5017584635615768,0.49764930114358324,0.9703914767096135,0.6579035780278851,0.8154618139418672,741,15814,478,15666,False
linear_svm,0.19,0.5023395210862718,0.49794409205367673,0.9676660059464817,0.6575330934191973,0.8140783124368154,804,15751,522,15622,False
linear_svm,0.2,0.5029511605859507,0.49825527419406473,0.9640733399405352,0.6569722040480361,0.8122071117698015,882,15673,580,15564,False
linear_svm,0.21,0.5036545460105813,0.49861807430260957,0.9610381565906838,0.6565806178586543,0.8106738285332107,954,15601,629,15515,False
linear_svm,0.22,0.5039603657604208,0.4987737979993546,0.9574454905847374,0.655874740102686,0.8087081179498985,1022,15533,687,15457,False
linear_svm,0.23,0.5047554971100033,0.4991896272285251,0.9539147670961348,0.6554028173809422,0.8069079705740574,1105,15450,744,15400,False
linear_svm,0.24,0.5052142267347626,0.49942998599394156,0.9497646184340932,0.6546269612552034,0.8046537989231399,1187,15368,811,15333,False
linear_svm,0.25,0.5061928499342487,0.4999508438472882,0.9449950445986125,0.6539360037720483,0.802178965412079,1296,15259,888,15256,False
linear_svm,0.26,0.5075690388085262,0.5006917907497694,0.9414643211100099,0.6537204301075269,0.8005203724771416,1398,15157,945,15199,False
linear_svm,0.27,0.5079666044833175,0.5009104452905148,0.9371902874132805,0.652872769639043,0.7981557485149977,1480,15075,1014,15130,False
linear_svm,0.28,0.5083947521330927,0.5011475900608722,0.9332259663032706,0.6521089878156989,0.7959720622576316,1558,14997,1078,15066,False
linear_svm,0.29,0.5087617358329001,0.5013547415955846,0.928394449950446,0.6511001542170768,0.793259307088948,1648,14907,1156,14988,False
linear_svm,0.3,0.5093122113826111,0.5016649288621304,0.923872646184341,0.6502452316076295,0.7907684477292247,1739,14816,1229,14915,False
linear_svm,0.31,0.5099544328572739,0.5020288090890647,0.9196605550049554,0.6495034778424253,0.7884758364312268,1828,14727,1297,14847,False
linear_svm,0.32,0.5106884002568886,0.5024503130955622,0.9145193260654113,0.648567914250571,0.7856534695615155,1935,14620,1380,14764,False
linear_svm,0.33,0.5117893513563105,0.5030819806862543,0.9099975222993062,0.6479513077228422,0.7832860585638423,2044,14511,1453,14691,False
linear_svm,0.34,0.5121869170311019,0.5033265538281223,0.9044226957383548,0.6467344362500831,0.7800929636159641,2147,14408,1543,14601,False
linear_svm,0.35,0.5130432123306523,0.5038345421105598,0.8993434093161546,0.6458486243633371,0.7773066503913569,2257,14298,1625,14519,False
linear_svm,0.36,0.5138689256552188,0.5043323317727623,0.8941402378592666,0.644909082786043,0.7744264898388378,2368,14187,1709,14435,False
linear_svm,0.37,0.5139606715801707,0.5044194809310842,0.8872646184340932,0.6431826856155003,0.7703311714153571,2482,14073,1820,14324,False
linear_svm,0.38,0.5142359093550262,0.5046122188320443,0.8810084241823588,0.6416873449131514,0.7666393566331041,2592,13963,1921,14223,False
linear_svm,0.39,0.5147863849047372,0.5049681892915863,0.8751238850346879,0.6404061465935361,0.7632301143116451,2705,13850,2016,14128,False
linear_svm,0.4,0.5148169668797211,0.5050221406199373,0.8689296333002974,0.6387832699619772,0.7594772232629151,2806,13749,2116,14028,False
linear_svm,0.41,0.5149087128046729,0.5051201975452102,0.8616204162537165,0.6368756009340232,0.7550426645243937,2927,13628,2234,13910,False
linear_svm,0.42,0.5150616226795927,0.5052539083952696,0.854806739345887,0.6351105690682743,0.7509059843942147,3042,13513,2344,13800,False
