model,threshold,precision,recall,f1,f2,fp,fn,is_selected
linear_svm,0.35,0.5038345421105598,0.8993434093161546,0.6458486243633371,0.7773066503913569,14298,1625,False
linear_svm,0.36,0.5043323317727623,0.8941402378592666,0.644909082786043,0.7744264898388378,14187,1709,False
linear_svm,0.37,0.5044194809310842,0.8872646184340932,0.6431826856155003,0.7703311714153571,14073,1820,False
linear_svm,0.38,0.5046122188320443,0.8810084241823588,0.6416873449131514,0.7666393566331041,13963,1921,False
linear_svm,0.39,0.5049681892915863,0.8751238850346879,0.6404061465935361,0.7632301143116451,13850,2016,False
linear_svm,0.4,0.5050221406199373,0.8689296333002974,0.6387832699619772,0.7594772232629151,13749,2116,False
linear_svm,0.41,0.5051201975452102,0.8616204162537165,0.6368756009340232,0.7550426645243937,13628,2234,False
linear_svm,0.42,0.5052539083952696,0.854806739345887,0.6351105690682743,0.7509059843942147,13513,2344,False
linear_svm,0.43,0.505914097730465,0.8478072348860257,0.6336867447567017,0.7468623813161628,13367,2457,False
linear_svm,0.44,0.5061139278258276,0.8409316154608524,0.631912120647924,0.7426695842450766,13248,2568,False
linear_svm,0.45,0.5062638726910199,0.8335604558969276,0.6299356348741955,0.7381221409217065,13124,2687,False
linear_svm,0.46,0.5065659632609686,0.8267467789890981,0.6282123693871787,0.7339646298007126,13001,2797,False
linear_svm,0.47,0.5070114942528736,0.819685332011893,0.6265031720481015,0.729685914685253,12867,2911,False
linear_svm,0.48,0.5078309292702734,0.8134291377601586,0.625288669856915,0.7260463316193951,12727,3012,False
linear_svm,0.49,0.5081391263614007,0.8063057482656095,0.6234046119585259,0.7216191943942435,12600,3127,False
linear_svm,0.5,0.5084993098008282,0.7986248761149654,0.6213643702257886,0.7168273454092582,12462,3251,False
linear_svm,0.51,0.5087607518317936,0.7913776015857285,0.6193523366298236,0.7122469003657123,12336,3368,False
linear_svm,0.52,0.5091502741051274,0.7823959365708623,0.6168685290095722,0.7065582207106417,12177,3513,False
linear_svm,0.53,0.5097903238965489,0.774095639246779,0.6147375670224802,0.7013694017285891,12017,3647,False
linear_svm,0.54,0.510079312623926,0.7648662041625371,0.6120142743854085,0.6953955667687872,11860,3796,False
linear_svm,0.55,0.5101145197692887,0.7560084241823588,0.6091839281257799,0.68953243994486,11721,3939,False
linear_svm,0.56,0.5101012240057601,0.7460356788899901,0.6059112061375928,0.6828670892535181,11567,4100,False
linear_svm,0.57,0.5102986611740473,0.7366204162537165,0.6029203001419591,0.6766044606281293,11412,4252,False
linear_svm,0.58,0.5115996176905031,0.7294350842418236,0.6013993156631429,0.672192159280316,11242,4368,False
linear_svm,0.59,0.512897394064994,0.7205153617443013,0.5992324137753393,0.6665520600538651,11047,4512,False
linear_svm,0.6,0.5133685057676831,0.7112239841427156,0.5963126460659569,0.6603252743208116,10884,4662,False
linear_svm,0.61,0.5140912185159973,0.7016848364717542,0.5934152282668482,0.6539585041161053,10707,4816,False
linear_svm,0.62,0.5142909828508205,0.6910307234886026,0.5897029284279522,0.6465896972226086,10536,4988,False
linear_svm,0.63,0.514109223641724,0.6805004955401388,0.5857169514568283,0.6391296759555529,10383,5158,False
linear_svm,0.64,0.5138518659558263,0.668669474727453,0.5811261843238588,0.6306669470929146,10213,5349,False
linear_svm,0.65,0.5149416380103647,0.6585728444003964,0.5779674376885652,0.6237752719336329,10015,5512,False
linear_svm,0.66,0.5160812943962115,0.6480426164519326,0.5745826010544816,0.6165142372242127,9810,5682,False
linear_svm,0.67,0.5155360829934028,0.634105550049554,0.5687064248215328,0.606220316700816,9620,5907,False
linear_svm,0.68,0.5170162451161834,0.6229558969276512,0.5650634902798067,0.5984314752225449,9395,6087,False
linear_svm,0.69,0.5172088142707241,0.610629335976214,0.5600499943188274,0.5893395188674734,9202,6286,False
linear_svm,0.7,0.5169291760420015,0.597683349851338,0.5543809250215456,0.5795752144350208,9017,6495,False
linear_svm,0.71,0.517432603085708,0.5837462834489594,0.5485927176412376,0.5691577383468819,8789,6720,False
linear_svm,0.72,0.5188668619058346,0.5706764122893955,0.5435398230088495,0.5595029879026381,8543,6931,False
linear_svm,0.73,0.5217921896792189,0.5561818632309217,0.5384384744543056,0.548946004108383,8229,7165,False
linear_svm,0.74,0.5232447252354273,0.5437933597621407,0.5333211834031955,0.5395555227769993,7999,7365,False
linear_svm,0.75,0.5238765764662667,0.5300421209117938,0.5269413141203276,0.5287974292423681,7777,7587,False
