model,threshold,accuracy,precision,recall,f1,f2,roc_auc,average_precision,tn,fp,fn,tp,false_positive_rate,false_negative_rate
xlm_roberta_v5_vi,0.52,0.7788461538461539,0.7699115044247787,0.7341772151898734,0.7516198704103672,0.7410562180579217,0.8678639054136661,0.8504652942583789,231,52,63,174,0.18374558303886926,0.26582278481012656
xlm_roberta_v5_vi,0.53,0.7788461538461539,0.7772727272727272,0.7215189873417721,0.7483588621444202,0.7320205479452054,0.8678639054136661,0.8504652942583789,234,49,66,171,0.17314487632508835,0.27848101265822783
xlm_roberta_v5_vi,0.54,0.775,0.780373831775701,0.7046413502109705,0.7405764966740577,0.7185886402753873,0.8678639054136661,0.8504652942583789,236,47,70,167,0.16607773851590105,0.29535864978902954
xlm_roberta_v5_vi,0.55,0.7692307692307693,0.782608695652174,0.6835443037974683,0.7297297297297297,0.7012987012987013,0.8678639054136661,0.8504652942583789,238,45,75,162,0.15901060070671377,0.31645569620253167
xlm_roberta_v5_vi,0.56,0.7692307692307693,0.7853658536585366,0.679324894514768,0.7285067873303167,0.6981786643538594,0.8678639054136661,0.8504652942583789,239,44,76,161,0.15547703180212014,0.3206751054852321
xlm_roberta_v5_vi,0.57,0.775,0.7970297029702971,0.679324894514768,0.7334851936218679,0.7,0.8678639054136661,0.8504652942583789,242,41,76,161,0.14487632508833923,0.3206751054852321
xlm_roberta_v5_vi,0.58,0.7673076923076924,0.7929292929292929,0.6624472573839663,0.7218390804597701,0.6849912739965096,0.8678639054136661,0.8504652942583789,242,41,80,157,0.14487632508833923,0.33755274261603374
xlm_roberta_v5_vi,0.59,0.7673076923076924,0.7989690721649485,0.6540084388185654,0.7192575406032483,0.6786339754816112,0.8678639054136661,0.8504652942583789,244,39,82,155,0.13780918727915195,0.3459915611814346
xlm_roberta_v5_vi,0.6,0.7711538461538462,0.8105263157894737,0.6497890295358649,0.7213114754098361,0.6766256590509666,0.8678639054136661,0.8504652942583789,247,36,83,154,0.127208480565371,0.350210970464135
xlm_roberta_v5_vi,0.61,0.775,0.8260869565217391,0.6413502109704642,0.7220902612826603,0.6713780918727915,0.8678639054136661,0.8504652942583789,251,32,85,152,0.11307420494699646,0.35864978902953587
xlm_roberta_v5_vi,0.62,0.775,0.8370786516853933,0.6286919831223629,0.7180722891566265,0.6616341030195382,0.8678639054136661,0.8504652942583789,254,29,88,149,0.10247349823321555,0.37130801687763715
xlm_roberta_v5_vi,0.63,0.7692307692307693,0.8421052631578947,0.6075949367088608,0.7058823529411765,0.6434316353887399,0.8678639054136661,0.8504652942583789,256,27,93,144,0.09540636042402827,0.3924050632911392
xlm_roberta_v5_vi,0.64,0.7692307692307693,0.8545454545454545,0.5949367088607594,0.7014925373134329,0.633423180592992,0.8678639054136661,0.8504652942583789,259,24,96,141,0.08480565371024736,0.4050632911392405
